P9_1,P9_1A,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P9_8_1,P9_8_2,P9_8_3,P9_8_4,P9_8_5,P9_8_6,P12_1
2,2.0,8.0,,,,,,2,2,2,2,1,2,2
2,2.0,1.0,,,,,,1,2,2,1,2,2,1
1,,,1.0,2.0,1.0,1.0,,1,1,2,2,1,2,1
1,,,5.0,2.0,2.0,1.0,,2,2,1,2,1,2,1
2,1.0,,,,,,,2,2,2,2,1,2,1
2,1.0,,,,,,,1,1,2,1,2,2,2
1,,,2.0,2.0,3.0,3.0,,2,1,2,1,2,2,1
1,,,5.0,2.0,1.0,3.0,,2,2,2,2,1,2,1
2,2.0,1.0,,,,,,2,2,2,2,1,2,2
2,2.0,8.0,,,,,,2,2,2,2,1,2,1
1,,,2.0,2.0,1.0,1.0,,2,2,1,2,1,2,1
1,,,5.0,2.0,1.0,3.0,,2,2,2,2,2,2,1
1,,,2.0,2.0,1.0,3.0,,1,1,2,2,1,2,1
2,1.0,,,,,,,1,1,2,2,2,2,2
1,,,5.0,2.0,7.0,2.0,8.0,2,1,2,2,1,2,2
1,,,1.0,1.0,,1.0,,2,1,1,2,1,2,1
2,2.0,8.0,,,,,,1,2,2,1,1,2,1
1,,,5.0,2.0,1.0,3.0,,1,1,2,2,1,2,2
1,,,5.0,2.0,1.0,3.0,,1,1,2,1,1,2,1
2,2.0,1.0,,,,,,1,2,2,1,2,2,2
1,,,5.0,2.0,1.0,3.0,,2,1,2,2,2,2,2
2,1.0,,,,,,,1,1,2,1,2,2,2
2,1.0,,,,,,,2,2,2,2,2,2,1
1,,,5.0,2.0,3.0,1.0,,2,1,2,2,2,2,2
1,,,5.0,2.0,1.0,1.0,,2,1,1,2,2,2,2
1,,,5.0,2.0,7.0,3.0,,1,9,2,2,1,2,1
1,,,5.0,2.0,3.0,3.0,,1,1,1,2,1,2,2
1,,,5.0,2.0,5.0,2.0,5.0,1,1,1,2,1,2,1
2,1.0,,,,,,,1,1,1,1,1,2,1
1,,,1.0,2.0,3.0,3.0,,2,1,2,2,1,2,2
1,,,5.0,2.0,4.0,1.0,,2,1,1,2,1,2,2
2,2.0,8.0,,,,,,2,2,2,2,1,2,2
1,,,5.0,2.0,1.0,1.0,,1,1,2,2,1,2,1
1,,,5.0,2.0,5.0,3.0,,1,2,2,1,1,2,1
2,2.0,2.0,,,,,,2,1,1,2,2,2,2
1,,,2.0,2.0,4.0,2.0,5.0,1,1,2,2,1,2,1
2,2.0,8.0,,,,,,1,2,2,2,1,2,2
1,,,5.0,2.0,4.0,3.0,,1,2,2,1,1,2,1
1,,,2.0,2.0,1.0,1.0,,1,1,2,1,1,2,1
2,2.0,8.0,,,,,,1,2,2,1,1,2,2
1,,,5.0,1.0,,3.0,,2,1,2,2,1,2,2
2,2.0,7.0,,,,,,1,1,2,2,1,2,1
1,,,5.0,2.0,1.0,3.0,,1,1,2,2,1,2,1
2,2.0,8.0,,,,,,1,1,2,2,1,2,1
2,2.0,1.0,,,,,,1,1,2,2,1,2,1
1,,,5.0,2.0,2.0,3.0,,1,1,2,2,1,2,1
2,1.0,,,,,,,1,1,2,2,2,2,1
1,,,5.0,2.0,4.0,1.0,,1,1,1,1,1,2,1
1,,,5.0,2.0,2.0,3.0,,9,1,2,1,9,2,1
2,2.0,1.0,,,,,,2,1,1,2,2,2,2
2,2.0,1.0,,,,,,1,2,1,1,1,2,2
2,2.0,1.0,,,,,,9,1,2,2,1,2,1
9,,,,,,,,1,9,2,2,1,2,1
1,,,5.0,2.0,1.0,2.0,4.0,2,1,2,1,1,2,1
